method,seed,well,probe,level,S_mean,S_sd,n,R
mean,0,W08,colog,0.5,0.000000,0.000000,810,30
mean,0,W09,colog,0.05,0.000000,0.000000,510,30
mean,0,W09,colog,0.1,0.000000,0.000000,510,30
mean,0,W09,colog,0.25,0.000000,0.000000,510,30
mean,0,W09,colog,0.5,0.000000,0.000000,510,30
mean,1,W01,colog,0.05,0.000000,0.000000,7110,30
mean,1,W01,colog,0.1,0.000000,0.000000,7110,30
mean,1,W01,colog,0.25,0.000000,0.000000,7110,30
mean,1,W01,colog,0.5,0.000000,0.000000,7110,30
mean,1,W04,colog,0.05,0.000000,0.000000,4530,30
mean,1,W04,colog,0.1,0.000000,0.000000,4530,30
mean,1,W04,colog,0.25,0.000000,0.000000,4530,30
mean,1,W04,colog,0.5,0.000000,0.000000,4530,30
mean,1,W02,colog,0.05,0.000000,0.000000,2040,30
mean,1,W02,colog,0.1,0.000000,0.000000,2040,30
mean,1,W02,colog,0.25,0.000000,0.000000,2040,30
mean,1,W02,colog,0.5,0.000000,0.000000,2040,30
mean,1,W03,colog,0.05,0.000000,0.000000,1740,30
mean,1,W03,colog,0.1,0.000000,0.000000,1740,30
mean,1,W03,colog,0.25,0.000000,0.000000,1740,30
mean,1,W03,colog,0.5,0.000000,0.000000,1740,30
mean,1,W10,colog,0.05,0.000000,0.000000,1680,30
mean,1,W10,colog,0.1,0.000000,0.000000,1680,30
mean,1,W10,colog,0.25,0.000000,0.000000,1680,30
mean,1,W10,colog,0.5,0.000000,0.000000,1680,30
mean,1,W06,colog,0.05,0.000000,0.000000,1500,30
mean,1,W06,colog,0.1,0.000000,0.000000,1500,30
mean,1,W06,colog,0.25,0.000000,0.000000,1500,30
mean,1,W06,colog,0.5,0.000000,0.000000,1500,30
mean,1,W08,colog,0.05,0.000000,0.000000,810,30
