well,regime,L,method,seed,log,r2,mae,rmse,n
W01,profile-long,256,ae,2,all,0.8339,7.4606,14.2571,768
W01,profile-long,256,ae,2,all_z,0.3483,0.4203,0.5223,768
W01,profile-long,384,ae,2,GR,0.0023,23.3610,26.1745,384
W01,profile-long,384,ae,2,RHOB,-0.8492,0.0440,0.0552,384
W01,profile-long,384,ae,2,NPHI,0.3450,0.0568,0.0670,384
W01,profile-long,384,ae,2,all,0.8031,7.8206,15.1119,1152
W01,profile-long,384,ae,2,all_z,0.2041,0.4897,0.5977,1152
W01,profile-long,512,ae,2,GR,0.0773,20.5197,24.4144,512
W01,profile-long,512,ae,2,RHOB,-1.3536,0.0471,0.0617,512
W01,profile-long,512,ae,2,NPHI,0.3852,0.0518,0.0621,512
W01,profile-long,512,ae,2,all,0.8267,6.8729,14.0957,1536
W01,profile-long,512,ae,2,all_z,0.2290,0.4528,0.5683,1536
W01,profile-long,768,ae,2,GR,-0.2819,25.5429,30.1286,768
W01,profile-long,768,ae,2,RHOB,-0.2163,0.0474,0.0601,768
W01,profile-long,768,ae,2,NPHI,0.5371,0.0456,0.0562,768
W01,profile-long,768,ae,2,all,0.6938,8.5453,17.3948,2304
W01,profile-long,768,ae,2,all_z,0.2475,0.4814,0.6198,2304
W01,profile-long,1024,ae,2,GR,-0.0529,24.8187,29.5703,1024
W01,profile-long,1024,ae,2,RHOB,-0.2061,0.0589,0.0741,1024
W01,profile-long,1024,ae,2,NPHI,0.6129,0.0442,0.0563,1024
W01,profile-long,1024,ae,2,all,0.6957,8.3073,17.0725,3072
W01,profile-long,1024,ae,2,all_z,0.3575,0.4929,0.6306,3072
W01,profile-long,1536,ae,2,GR,0.0559,25.8025,29.8369,1536
W01,profile-long,1536,ae,2,RHOB,-0.6982,0.0680,0.0828,1536
W01,profile-long,1536,ae,2,NPHI,0.3887,0.0517,0.0654,1536
W01,profile-long,1536,ae,2,all,0.6277,8.6407,17.2265,4608
W01,profile-long,1536,ae,2,all_z,0.3060,0.5442,0.6720,4608
W01,profile-long,2048,ae,2,GR,-0.3808,28.2348,34.6206,2048
W01,profile-long,2048,ae,2,RHOB,-0.8794,0.0720,0.0868,2048
W01,profile-long,2048,ae,2,NPHI,0.3024,0.0532,0.0666,2048
W01,profile-long,2048,ae,2,all,0.4403,9.4533,19.9883,6144
W01,profile-long,2048,ae,2,all_z,0.1758,0.5798,0.7403,6144
W01,blackout-long,256,ae,2,RHOB,-0.2927,0.0344,0.0414,256
W01,blackout-long,256,ae,2,NPHI,0.3798,0.0510,0.0626,256
W01,blackout-long,256,ae,2,all,0.9979,0.0427,0.0531,512
W01,blackout-long,256,ae,2,all_z,0.3947,0.3450,0.4556,512
W01,blackout-long,384,ae,2,RHOB,-0.7840,0.0430,0.0542,384
W01,blackout-long,384,ae,2,NPHI,0.2236,0.0636,0.0729,384
W01,blackout-long,384,ae,2,all,0.9970,0.0533,0.0643,768
W01,blackout-long,384,ae,2,all_z,0.2411,0.4305,0.5409,768
W01,blackout-long,512,ae,2,RHOB,-1.6344,0.0516,0.0653,512
W01,blackout-long,512,ae,2,NPHI,0.3163,0.0557,0.0655,512
W01,blackout-long,512,ae,2,all,0.9969,0.0537,0.0654,1024
W01,blackout-long,512,ae,2,all_z,0.2459,0.4185,0.5188,1024
W01,blackout-long,768,ae,2,RHOB,-1.2611,0.0673,0.0820,768
W01,blackout-long,768,ae,2,NPHI,0.2720,0.0606,0.0704,768
W01,blackout-long,768,ae,2,all,0.9959,0.0639,0.0764,1536
W01,blackout-long,768,ae,2,all_z,0.2812,0.4883,0.5857,1536
W01,blackout-long,1024,ae,2,RHOB,-1.5131,0.0860,0.1069,1024
W01,blackout-long,1024,ae,2,NPHI,0.2297,0.0676,0.0794,1024
W01,blackout-long,1024,ae,2,all,0.9938,0.0768,0.0942,2048
W01,blackout-long,1024,ae,2,all_z,0.1726,0.5771,0.6980,2048
W01,blackout-long,1536,ae,2,RHOB,-1.9523,0.0869,0.1092,1536
W01,blackout-long,1536,ae,2,NPHI,0.1022,0.0661,0.0793,1536
W01,blackout-long,1536,ae,2,all,0.9937,0.0765,0.0954,3072
W01,blackout-long,1536,ae,2,all_z,0.1208,0.5725,0.7036,3072
W01,blackout-long,2048,ae,2,RHOB,-2.4979,0.0972,0.1185,2048
W01,blackout-long,2048,ae,2,NPHI,-0.0196,0.0674,0.0805,2048
W01,blackout-long,2048,ae,2,all,0.9930,0.0823,0.1013,4096
W01,blackout-long,2048,ae,2,all_z,0.1088,0.6095,0.7357,4096
W04,profile-long,256,ae,2,GR,-1.0359,6.1447,7.9373,256
W04,profile-long,256,ae,2,RHOB,-3.2307,0.0763,0.0898,256
W04,profile-long,256,ae,2,NPHI,-2.2418,0.0404,0.0511,256
W04,profile-long,256,ae,2,all,0.8078,2.0871,4.5830,768
W04,profile-long,256,ae,2,all_z,0.4678,0.3622,0.4755,768
W04,profile-long,384,ae,2,GR,-1.9817,15.1582,18.4842,384
W04,profile-long,384,ae,2,RHOB,-0.6278,0.0716,0.0830,384
W04,profile-long,384,ae,2,NPHI,0.2036,0.0388,0.0540,384
W04,profile-long,384,ae,2,all,0.3828,5.0895,10.6720,1152
W04,profile-long,384,ae,2,all_z,0.4011,0.4265,0.5339,1152
W04,profile-long,512,ae,2,GR,-0.1884,9.5480,12.1204,512
W04,profile-long,512,ae,2,RHOB,0.0831,0.0776,0.0933,512
W04,profile-long,512,ae,2,NPHI,0.2289,0.0604,0.0752,512
W04,profile-long,512,ae,2,all,0.7558,3.2286,6.9980,1536
W04,profile-long,512,ae,2,all_z,0.3612,0.4625,0.5986,1536
W04,profile-long,768,ae,2,GR,-3.2281,16.6697,21.8188,768
W04,profile-long,768,ae,2,RHOB,0.1327,0.0774,0.0968,768
W04,profile-long,768,ae,2,NPHI,0.2253,0.0658,0.0830,768
W04,profile-long,768,ae,2,all,0.2254,5.6043,12.5973,2304
W04,profile-long,768,ae,2,all_z,0.1780,0.5436,0.6994,2304
W04,profile-long,1024,ae,2,GR,-1.6339,16.7507,21.5969,1024
W04,profile-long,1024,ae,2,RHOB,0.3465,0.0959,0.1221,1024
W04,profile-long,1024,ae,2,NPHI,0.3206,0.0626,0.0813,1024
W04,profile-long,1024,ae,2,all,0.3837,5.6364,12.4692,3072
W04,profile-long,1024,ae,2,all_z,0.2745,0.5754,0.7491,3072
W04,profile-long,1536,ae,2,GR,-0.7983,16.0177,20.4241,1536
W04,profile-long,1536,ae,2,RHOB,0.3565,0.1051,0.1307,1536
W04,profile-long,1536,ae,2,NPHI,0.4233,0.0597,0.0779,1536
W04,profile-long,1536,ae,2,all,0.5751,5.3942,11.7922,4608
W04,profile-long,1536,ae,2,all_z,0.3794,0.5801,0.7513,4608
W04,profile-long,2048,ae,2,GR,-0.0936,16.3950,20.7911,2048
W04,profile-long,2048,ae,2,RHOB,0.3199,0.1070,0.1333,2048
W04,profile-long,2048,ae,2,NPHI,0.4555,0.0622,0.0803,2048
W04,profile-long,2048,ae,2,all,0.6916,5.5214,12.0041,6144
W04,profile-long,2048,ae,2,all_z,0.4688,0.5959,0.7690,6144
W04,blackout-long,256,ae,2,RHOB,-3.8897,0.0863,0.0966,256
W04,blackout-long,256,ae,2,NPHI,-9.2512,0.0790,0.0909,256
W04,blackout-long,256,ae,2,all,0.9943,0.0826,0.0938,512
