seed,method,scenario,fold,log,mae,rmse,r2,cc,n
4,brits,blackout,15,RHOB,0.09098803188906758,0.10917064818343429,-0.08847254539870986,0.26611522799847603,3083
4,brits,blackout,15,NPHI,0.07669953999438903,0.08830324722747127,0.09443169067046553,0.5508791584590819,3023
4,brits,single,16,all,0.017309093475341798,0.01940571217686123,0.9138743408999012,0.956921240636568,5
4,brits,single,16,GR,,,,,0
4,brits,single,16,RHOB,0.017309093475341798,0.01940571217686123,0.9138743408999012,0.956921240636568,5
4,brits,single,16,NPHI,,,,,0
4,brits,block,16,all,0.07585785947740079,0.08132205500251011,-5.743710595651432,0.312505170413273,100
4,brits,block,16,GR,,,,,0
4,brits,block,16,RHOB,,,,,0
4,brits,block,16,NPHI,0.07585785947740079,0.08132205500251011,-5.743710595651432,0.312505170413273,100
4,brits,profile,16,all,0.0804221834987402,0.09660805115547531,-1.3767091546321777,0.053644479531493504,256
4,brits,profile,16,GR,,,,,0
4,brits,profile,16,RHOB,0.0804221834987402,0.09660805115547531,-1.3767091546321777,0.053644479531493504,256
4,brits,profile,16,NPHI,,,,,0
4,brits,blackout,16,all,21.705396215897053,30.956832616321755,-15.22035660940547,0.879299258542215,432
4,brits,blackout,16,GR,43.30838765921416,43.779446655146025,-73.45476436906885,-0.027902735928632044,216
4,brits,blackout,16,RHOB,,,,,0
4,brits,blackout,16,NPHI,0.1024047725799459,0.10498494724701961,-13.43006189870648,0.6153118153545482,216
4,brits,single,17,all,0.9155762208236701,2.41425730661649,0.9955972444887704,0.9978738300767308,1178
4,brits,single,17,GR,2.4812437590495544,3.982084049761194,0.9886388060254111,0.9945072116637866,433
4,brits,single,17,RHOB,0.005140386735801597,0.007005426653342696,0.9956368872242717,0.9981538067228658,383
4,brits,single,17,NPHI,0.006081415309431803,0.01038461359743204,0.9861689953461318,0.9931065114660806,362
4,brits,block,17,all,9.770591694939684,18.90309444972132,0.6271757704935199,0.8023407539224733,13940
4,brits,block,17,GR,27.555615383241236,31.818433225649308,0.21403242944743406,0.5818312840613613,4920
4,brits,block,17,RHOB,0.08572198832244204,0.10379500477258158,-0.1176410538411119,0.44661460886393106,4560
4,brits,block,17,NPHI,0.053257460798650576,0.06444329766954927,0.4043792211719651,0.772451039592994,4460
4,brits,profile,17,all,10.989151749951974,21.034920045069438,0.6009771022431085,0.7802161592502285,60672
4,brits,profile,17,GR,31.22113918414317,35.544507013745346,0.0804889449941808,0.4655593721845558,21248
4,brits,profile,17,RHOB,0.09910038606973276,0.12208246310570842,-0.39468498328517776,0.15143262278165984,21504
4,brits,profile,17,NPHI,0.06785685749824293,0.0790060922633558,0.11561744157852927,0.5945893579923732,17920
4,brits,blackout,17,all,9.95879950883661,19.78206383324967,0.6202121456621361,0.7876452800771638,77460
4,brits,blackout,17,GR,29.158143765513294,33.936267595086846,0.12451424752418105,0.4009803113243426,26320
4,brits,blackout,17,RHOB,0.0873068762181439,0.1082512272126553,-0.01808552978333755,0.36838867836366385,24654
4,brits,blackout,17,NPHI,0.06848154949376088,0.08140871354417048,0.04343203814003016,0.5520648915677479,26486
4,brits,single,18,all,0.764826556344827,1.5937971775797244,0.9990906690471637,0.9998615211415435,75
