method,scenario,log,seed,mae,rmse,r2,cc,n
gnn,profile,RHOB,1,0.07865102476194158,0.10616482046517599,0.5056922325575053,0.7114438650256377,66816
gnn,profile,NPHI,1,0.061087169618376506,0.08028440521257199,0.3996636013586039,0.6573130666415271,74240
gnn,blackout,all,1,9.304730393867322,19.790784221623735,0.6263518062580371,0.7985585587606235,278822
gnn,blackout,GR,1,25.644145183679765,32.96742538010728,0.15837556684006748,0.4650348920263882,100478
gnn,blackout,RHOB,1,0.11314269499212848,0.15052562592291635,0.07811966181647134,0.35488097994118956,84464
gnn,blackout,NPHI,1,0.08664927059313338,0.10842592082830745,-0.13865333286170012,0.20451229495988876,93880
locf,single,all,1,0.643786707310411,1.873722244597963,0.9961994136082236,0.9981001879737407,3981
locf,single,GR,1,2.132311659895681,3.431248901968069,0.9897792911623272,0.9948924169164537,1187
locf,single,RHOB,1,0.014173208838084013,0.031144463521719904,0.9633577380370895,0.9815868208538536,1294
locf,single,NPHI,1,0.00901387284672819,0.013452317713915867,0.9834184728334662,0.9917082698544746,1500
locf,block,all,1,4.751257806585376,12.47996611625594,0.8414045791793695,0.9218163062762921,48360
locf,block,GR,1,14.624032421014123,21.986903386372646,0.616944018993901,0.8116339693551359,15580
locf,block,RHOB,1,0.0647284421010393,0.11196812425602082,0.5301525768349133,0.7403434705322203,14980
locf,block,NPHI,1,0.05386350249411182,0.08071320092011144,0.37627263642684194,0.6972718969753887,17800
locf,profile,all,1,9.27543784984585,19.88524478188148,0.575056448916633,0.7587254424346551,205312
locf,profile,GR,1,29.405720965380212,35.54468043128988,-0.022472205089600017,-0.29412168723731097,64256
locf,profile,RHOB,1,0.12233437297480373,0.1568025659044199,-0.07830720218812015,-0.3388080960489529,66816
locf,profile,NPHI,1,0.09012386868798158,0.10660403843990264,-0.05847255452374989,-0.37330282685413113,74240
locf,blackout,all,1,6.317587907634141,15.750481320100086,0.7633401746673387,0.8811360287142374,278822
locf,blackout,GR,1,17.404409393259748,26.237056856700985,0.46693704296013994,0.728125193365903,100478
locf,blackout,RHOB,1,0.08230012601061873,0.13229025685896043,0.28795180759430883,0.6535539387938886,84464
locf,blackout,NPHI,1,0.061470501949853866,0.08443181592227246,0.3095415590159647,0.6576474370575426,93880
mean,single,all,1,8.660417616316808,18.798390678992735,0.6174558844847824,0.7859619324666267,3981
mean,single,GR,1,28.788285821852003,34.42572226051346,-0.028827803111685535,-0.35075700206683036,1187
mean,single,RHOB,1,0.13099835082957698,0.16889672837834516,-0.07761354310379986,-0.3815950088867886,1294
