seed,method,scenario,fold,log,r2,mae
0,brits,profile,1,all,0.124546,0.074205
0,brits,profile,2,GR,-1.056589,28.933533
0,brits,profile,2,NPHI,0.216875,0.062195
0,brits,profile,2,RHOB,-0.356165,0.122428
0,brits,profile,2,all,0.798619,4.646188
0,brits,profile,3,GR,-1.872253,33.631767
0,brits,profile,3,NPHI,0.167488,0.069748
0,brits,profile,3,RHOB,-0.969254,0.178318
0,brits,profile,3,all,-0.040489,11.459927
0,brits,profile,4,GR,-0.518646,32.675636
0,brits,profile,4,NPHI,0.326489,0.073074
0,brits,profile,4,RHOB,-0.078420,0.121358
0,brits,profile,4,all,0.686519,10.570574
0,brits,profile,5,GR,-0.758381,26.784832
0,brits,profile,5,NPHI,0.098794,0.073907
0,brits,profile,5,RHOB,-0.592438,0.165738
0,brits,profile,5,all,0.370855,9.834067
0,brits,profile,6,GR,-0.228181,10.806190
0,brits,profile,6,NPHI,-7.479635,0.117090
0,brits,profile,6,RHOB,-5.958173,0.154715
0,brits,profile,6,all,0.949311,1.109349
0,brits,profile,7,GR,,
0,brits,profile,7,NPHI,-2.988615,0.095217
0,brits,profile,7,RHOB,-1.263200,0.124640
0,brits,profile,7,all,0.989319,0.112871
0,brits,profile,8,GR,-14.307827,110.226875
0,brits,profile,8,NPHI,-0.662051,0.064515
0,brits,profile,8,RHOB,-0.478411,0.161542
0,brits,profile,8,all,0.521824,8.598251
0,brits,profile,9,GR,-0.057544,41.664719
0,brits,profile,9,NPHI,0.453774,0.068454
0,brits,profile,9,RHOB,-3.367076,0.139448
0,brits,profile,9,all,0.607294,7.032718
0,brits,profile,10,GR,-0.029447,30.330437
0,brits,profile,10,NPHI,0.391851,0.058988
0,brits,profile,10,RHOB,-0.301638,0.102495
0,brits,profile,10,all,0.619931,5.124170
0,brits,profile,11,GR,-26.786291,45.364773
0,brits,profile,11,NPHI,-0.882881,0.078745
0,brits,profile,11,RHOB,-0.171968,0.085310
0,brits,profile,11,all,-9.540907,3.856410
0,brits,profile,12,GR,-0.641723,24.022705
0,brits,profile,12,NPHI,-0.016734,0.084020
0,brits,profile,12,RHOB,-1.325553,0.197245
0,brits,profile,12,all,0.535697,7.966998
0,brits,profile,13,GR,-0.895605,36.881393
0,brits,profile,13,NPHI,0.182447,0.075672
0,brits,profile,13,RHOB,-0.641130,0.124511
0,brits,profile,13,all,0.673592,11.871085
0,brits,profile,14,GR,-2.508407,18.200449
0,brits,profile,14,NPHI,-4.668549,0.095045
0,brits,profile,14,RHOB,-2.095068,0.139579
0,brits,profile,14,all,0.746801,1.515174
0,brits,profile,15,GR,-0.779852,33.707386
0,brits,profile,15,NPHI,0.147026,0.072558
0,brits,profile,15,RHOB,-0.544059,0.106859
0,brits,profile,15,all,0.205498,5.072011
0,brits,profile,16,GR,,
0,brits,profile,16,NPHI,,
0,brits,profile,16,RHOB,-1.360867,0.080087
0,brits,profile,16,all,-1.360867,0.080087
0,brits,profile,17,GR,-0.058812,31.040775
0,brits,profile,17,NPHI,0.201919,0.064134
0,brits,profile,17,RHOB,-0.264607,0.100602
0,brits,profile,17,all,0.512777,10.010960
0,brits,profile,18,GR,-1.508579,42.385124
0,brits,profile,18,NPHI,-0.176378,0.075748
0,brits,profile,18,RHOB,-0.200184,0.107593
0,brits,profile,18,all,0.702090,5.733983
0,brits,single,0,GR,0.975644,4.712037
0,brits,single,0,NPHI,0.994559,0.004498
0,brits,single,0,RHOB,0.983458,0.010446
0,brits,single,0,all,0.988386,1.991038
0,brits,single,1,GR,0.990563,1.944812
0,brits,single,1,NPHI,,
0,brits,single,1,RHOB,,
0,brits,single,1,all,0.990563,1.944812
0,brits,single,2,GR,0.984399,1.812342
0,brits,single,2,NPHI,0.977009,0.007765
0,brits,single,2,RHOB,0.934864,0.029441
0,brits,single,2,all,0.998869,0.691568
0,brits,single,3,GR,0.983842,1.491872
0,brits,single,3,NPHI,0.997371,0.003330
0,brits,single,3,RHOB,0.997918,0.004721
0,brits,single,3,all,0.994817,0.530953
0,brits,single,4,GR,0.995858,1.069878
0,brits,single,4,NPHI,0.996208,0.004494
0,brits,single,4,RHOB,0.994641,0.005264
0,brits,single,4,all,0.998927,0.444751
0,brits,single,5,GR,0.996336,0.777459
0,brits,single,5,NPHI,0.997652,0.002951
0,brits,single,5,RHOB,0.999119,0.003233
0,brits,single,5,all,0.998567,0.249864
0,brits,single,6,GR,0.986762,0.772009
0,brits,single,6,NPHI,0.991092,0.003110
0,brits,single,6,RHOB,0.997032,0.002227
0,brits,single,6,all,0.999247,0.358919
0,brits,single,7,GR,0.965950,1.233749
0,brits,single,7,NPHI,0.996845,0.002467
0,brits,single,7,RHOB,0.998828,0.002408
0,brits,single,7,all,0.987159,0.505019
0,brits,single,8,GR,0.931052,6.021489
0,brits,single,8,NPHI,0.995985,0.003331
0,brits,single,8,RHOB,0.994696,0.006654
0,brits,single,8,all,0.973312,2.354953
0,brits,single,9,GR,0.996308,1.670244
0,brits,single,9,NPHI,0.999381,0.001931
0,brits,single,9,RHOB,0.996143,0.005317
0,brits,single,9,all,0.998533,0.666234
0,brits,single,10,GR,0.989911,2.807264
0,brits,single,10,NPHI,0.991312,0.004688
0,brits,single,10,RHOB,0.989213,0.009451
0,brits,single,10,all,0.996084,1.189520
0,brits,single,11,GR,0.987861,0.627411
0,brits,single,11,NPHI,0.999445,0.001307
0,brits,single,11,RHOB,0.999069,0.001704
0,brits,single,11,all,0.995675,0.266673
0,brits,single,12,GR,0.991114,0.873241
0,brits,single,12,NPHI,0.997814,0.003393
0,brits,single,12,RHOB,0.998801,0.004101
0,brits,single,12,all,0.997035,0.365506
0,brits,single,13,GR,0.997196,1.287615
0,brits,single,13,NPHI,0.996946,0.003393
0,brits,single,13,RHOB,0.988379,0.006268
0,brits,single,13,all,0.999285,0.547122
0,brits,single,14,GR,0.997450,0.509801
